#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-He_HPV2_-_CFRP-He_HPV1_-_CFRP-Electronics_-_CuAl-MerlinVE_-_A316-Structure_-_AA2198-Fluidics_-_A316-Nozzle_-.8911481094606376936_Trajectory.txt
# RunID         : sara
# ObjectID      : 8911481094606376936
# ObjectName    : Compound_of-He_HPV2_-_CFRP-He_HPV1_-_CFRP-Electronics_-_CuAl-MerlinVE_-_A316-Structure_-_AA2198-Fluidics_-_A316-Nozzle_-_CFRP-TF_-_AlTi-RP1_Tank_-_AA2198-LOX_Tank_-_AA2198
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         120.000     -0.435      0.000            7.800            0.000      1.595      0.000      0.000    0.22329   19.50190           -2.00000       10.61400 
     0.100         119.973     -0.428      0.001            7.800            0.770      1.594      0.000      0.000    0.22267   19.51050           -1.99984       10.61401 
     0.550         119.850     -0.398      0.007            7.800            4.235      1.588      0.000      0.000    0.21984   19.55050           -1.99914       10.61407 
     1.550         119.578     -0.330      0.020            7.800           11.936      1.576      0.000      0.000    0.21344   19.64139           -1.99758       10.61422 
     2.550         119.307     -0.262      0.032            7.801           19.638      1.562      0.000      0.000    0.20671   19.74367           -1.99602       10.61440 
     3.550         119.035     -0.194      0.045            7.801           27.340      1.548      0.000      0.000    0.20013   19.84569           -1.99445       10.61460 
     4.550         118.764     -0.126      0.058            7.801           35.043      1.534      0.000      0.000    0.19370   19.94878           -1.99288       10.61482 
     5.550         118.492     -0.057      0.070            7.802           42.746      1.519      0.000      0.000    0.18741   20.05398           -1.99131       10.61507 
     6.550         118.221      0.011      0.083            7.802           50.450      1.505      0.000      0.000    0.18127   20.16033           -1.98973       10.61535 
     7.550         117.951      0.079      0.096            7.802           58.155      1.490      0.000      0.000    0.17527   20.26818           -1.98815       10.61565 
     8.550         117.680      0.147      0.108            7.803           65.860      1.476      0.000      0.000    0.16940   20.37758           -1.98657       10.61597 
     9.550         117.410      0.215      0.121            7.803           73.566      1.461      0.000      0.000    0.16368   20.48858           -1.98499       10.61632 
    10.550         117.139      0.283      0.134            7.803           81.273      1.446      0.000      0.000    0.15809   20.60112           -1.98340       10.61669 
    11.550         116.869      0.351      0.146            7.804           88.980      1.430      0.000      0.000    0.15264   20.71547           -1.98182       10.61709 
    12.550         116.600      0.419      0.159            7.804           96.688      1.415      0.000      0.000    0.14732   20.83148           -1.98022       10.61752 
    13.550         116.330      0.487      0.172            7.804          104.397      1.400      0.000      0.000    0.14214   20.94922           -1.97863       10.61796 
    14.550         116.061      0.555      0.184            7.805          112.106      1.384      0.000      0.000    0.13708   21.06875           -1.97703       10.61844 
    15.550         115.792      0.623      0.197            7.805          119.816      1.368      0.000      0.000    0.13215   21.19014           -1.97543       10.61893 
    16.550         115.523      0.691      0.210            7.805          127.526      1.353      0.000      0.000    0.12735   21.31341           -1.97383       10.61946 
    17.550         115.254      0.759      0.222            7.806          135.237      1.337      0.000      0.000    0.12268   21.43860           -1.97223       10.62000 
    18.550         114.985      0.827      0.235            7.806          142.949      1.321      0.000      0.000    0.11813   21.56579           -1.97062       10.62057 
    19.550         114.717      0.896      0.248            7.806          150.661      1.305      0.000      0.000    0.11370   21.69501           -1.96901       10.62117 
    20.550         114.449      0.964      0.260            7.806          158.374      1.289      0.000      0.000    0.10939   21.82631           -1.96740       10.62179 
    21.550         114.181      1.032      0.273            7.807          166.088      1.274      0.000      0.000    0.10520   21.95976           -1.96578       10.62244 
    22.550         113.913      1.100      0.286            7.807          173.802      1.258      0.000      0.000    0.10112   22.09541           -1.96417       10.62311 
    23.550         113.646      1.168      0.299            7.807          181.517      1.242      0.000      0.000    0.09716   22.23329           -1.96254       10.62380 
    24.550         113.379      1.236      0.311            7.808          189.233      1.226      0.000      0.000    0.09332   22.37349           -1.96092       10.62453 
    25.550         113.112      1.304      0.324            7.808          196.949      1.211      0.000      0.000    0.08958   22.51608           -1.95930       10.62527 
    26.550         112.845      1.372      0.337            7.808          204.665      1.195      0.000      0.000    0.08596   22.65971           -1.95767       10.62604 
    27.550         112.578      1.441      0.349            7.809          212.383      1.180      0.000      0.000    0.08244   22.80818           -1.95604       10.62684 
    28.550         112.312      1.509      0.362            7.809          220.101      1.165      0.000      0.000    0.07903   22.95864           -1.95441       10.62766 
    29.550         112.045      1.577      0.375            7.809          227.819      1.150      0.000      0.000    0.07573   23.11132           -1.95277       10.62850 
    30.550         111.779      1.645      0.388            7.809          235.539      1.135      0.000      0.000    0.07252   23.26669           -1.95113       10.62937 
    31.550         111.514      1.713      0.400            7.810          243.258      1.120      0.000      0.000    0.06942   23.42486           -1.94949       10.63027 
    32.550         111.248      1.781      0.413            7.810          250.979      1.106      0.000      0.000    0.06642   23.58242           -1.94785       10.63119 
    33.550         110.983      1.850      0.426            7.810          258.700      1.091      0.000      0.000    0.06351   23.74974           -1.94620       10.63213 
    34.550         110.718      1.918      0.438            7.811          266.422      1.077      0.000      0.000    0.06070   23.91474           -1.94456       10.63310 
    35.550         110.453      1.986      0.451            7.811          274.144      1.064      0.000      0.000    0.05798   24.08661           -1.94291       10.63409 
    36.550         110.188      2.054      0.464            7.811          281.867      1.051      0.000      0.000    0.05536   24.25974           -1.94126       10.63511 
    37.550         109.924      2.122      0.477            7.812          289.590      1.038      0.000      0.000    0.05282   24.43656           -1.93960       10.63616 
    38.550         109.659      2.191      0.489            7.812          297.314      1.025      0.000      0.000    0.05039   24.60110           -1.93794       10.63723 
    39.550         109.395      2.259      0.502            7.812          305.039      1.013      0.000      0.000    0.04810   24.75228           -1.93628       10.63832 
    40.550         109.131      2.327      0.515            7.812          312.764      1.002      0.000      0.000    0.04595   24.89289           -1.93462       10.63944 
    41.550         108.868      2.395      0.528            7.813          320.490      0.992      0.000      0.000    0.04392   25.02514           -1.93296       10.64058 
    42.550         108.604      2.464      0.540            7.813          328.217      0.982      0.000      0.000    0.04200   25.15012           -1.93129       10.64175 
    43.550         108.341      2.532      0.553            7.813          335.944      0.973      0.000      0.000    0.04017   25.26929           -1.92963       10.64295 
    44.550         108.078      2.600      0.566            7.814          343.672      0.964      0.000      0.000    0.03843   25.38330           -1.92796       10.64416 
    45.550         107.815      2.668      0.579            7.814          351.400      0.955      0.000      0.000    0.03677   25.49246           -1.92628       10.64541 
