#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Electronics_-_CuAl.8d3100c0-08f6-43c7-b55f-bc9dfecb8aa1_Trajectory.txt
# RunID         : sara
# ObjectID      : 8d3100c0-08f6-43c7-b55f-bc9dfecb8aa1
# ObjectName    : Electronics_-_CuAl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      0.880      0.000      0.000    0.00318   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.734         1218.977      0.880      0.000      0.000    0.00317   27.34240           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.733         1222.433      0.880      0.000      0.000    0.00312   27.32830           -1.76846       10.94719 
   159.100          79.434     10.425      2.055            7.733         1230.114      0.880      0.000      0.000    0.00302   27.29597           -1.76856       10.95134 
   160.100          79.195     10.492      2.069            7.732         1237.794      0.880      0.000      0.000    0.00290   27.26125           -1.76868       10.95550 
   161.100          78.957     10.560      2.082            7.731         1245.473      0.880      0.000      0.000    0.00280   27.22652           -1.76881       10.95970 
   162.100          78.718     10.628      2.095            7.730         1253.152      0.880      0.000      0.000    0.00270   27.19177           -1.76897       10.96392 
   163.100          78.480     10.696      2.108            7.729         1260.831      0.880      0.000      0.000    0.00260   27.15699           -1.76914       10.96817 
   164.100          78.241     10.763      2.122            7.728         1268.508      0.880      0.000      0.000    0.00250   27.12219           -1.76933       10.97245 
   165.100          78.002     10.831      2.135            7.727         1276.185      0.880      0.000      0.000    0.00241   27.08736           -1.76954       10.97675 
   166.100          77.764     10.899      2.148            7.726         1283.861      0.880      0.000      0.000    0.00232   27.05248           -1.76978       10.98108 
   167.100          77.525     10.966      2.161            7.725         1291.536      0.880      0.000      0.000    0.00224   27.01757           -1.77003       10.98543 
   168.100          77.287     11.034      2.175            7.724         1299.211      0.880      0.000      0.000    0.00216   26.98261           -1.77031       10.98981 
   169.100          77.048     11.102      2.188            7.723         1306.884      0.880      0.000      0.000    0.00208   26.94759           -1.77062       10.99422 
   170.100          76.809     11.169      2.201            7.721         1314.557      0.880      0.000      0.000    0.00201   26.91251           -1.77095       10.99865 
   171.100          76.571     11.237      2.215            7.720         1322.228      0.880      0.000      0.000    0.00193   26.87737           -1.77130       11.00311 
   172.100          76.332     11.305      2.228            7.719         1329.899      0.880      0.000      0.000    0.00187   26.84216           -1.77168       11.00760 
   173.100          76.093     11.372      2.241            7.717         1337.568      0.880      0.000      0.000    0.00180   26.80686           -1.77210       11.01211 
   174.100          75.855     11.440      2.255            7.716         1345.236      0.880      0.000      0.000    0.00173   26.77148           -1.77254       11.01665 
   175.100          75.616     11.508      2.268            7.714         1352.903      0.880      0.000      0.000    0.00167   26.73600           -1.77301       11.02122 
   176.100          75.377     11.575      2.281            7.712         1360.568      0.880      0.000      0.000    0.00161   26.70043           -1.77351       11.02581 
   177.100          75.139     11.643      2.295            7.711         1368.232      0.880      0.000      0.000    0.00156   26.66475           -1.77405       11.03043 
   178.100          74.900     11.710      2.308            7.709         1375.894      0.880      0.000      0.000    0.00150   26.62896           -1.77463       11.03507 
   179.100          74.661     11.778      2.322            7.707         1383.555      0.880      0.000      0.000    0.00145   26.59304           -1.77523       11.03974 
   180.100          74.422     11.845      2.335            7.705         1391.214      0.880      0.000      0.000    0.00140   26.55699           -1.77588       11.04444 
   181.100          74.184     11.913      2.348            7.703         1398.872      0.880      0.000      0.000    0.00135   26.52079           -1.77657       11.04916 
   182.100          73.945     11.981      2.362            7.701         1406.527      0.880      0.000      0.000    0.00130   26.48443           -1.77729       11.05391 
   183.100          73.706     12.048      2.375            7.699         1414.181      0.880      0.000      0.000    0.00126   26.44790           -1.77806       11.05868 
   184.100          73.467     12.116      2.389            7.697         1421.833      0.880      0.000      0.000    0.00121   26.41119           -1.77887       11.06348 
   185.100          73.228     12.183      2.402            7.694         1429.483      0.880      0.000      0.000    0.00117   26.37429           -1.77973       11.06830 
   186.100          72.989     12.250      2.415            7.692         1437.130      0.880      0.000      0.000    0.00113   26.33718           -1.78063       11.07316 
   187.100          72.750     12.318      2.429            7.689         1444.776      0.880      0.000      0.000    0.00109   26.29985           -1.78158       11.07803 
   188.100          72.511     12.385      2.442            7.687         1452.419      0.880      0.000      0.000    0.00105   26.26228           -1.78258       11.08293 
   189.100          72.272     12.453      2.456            7.684         1460.059      0.880      0.000      0.000    0.00102   26.22447           -1.78364       11.08786 
   190.100          72.033     12.520      2.469            7.681         1467.697      0.880      0.000      0.000    0.00098   26.18639           -1.78475       11.09281 
   191.100          71.793     12.587      2.482            7.678         1475.333      0.880      0.000      0.000    0.00095   26.14798           -1.78591       11.09779 
