#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Fluidics_-_A316.110ee3dd-7d9a-49cd-88e5-80c1fbcbd7b8_Trajectory.txt
# RunID         : sara
# ObjectID      : 110ee3dd-7d9a-49cd-88e5-80c1fbcbd7b8
# ObjectName    : Fluidics_-_A316
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      0.892      0.000      0.000    0.00167   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.733         1218.977      0.892      0.000      0.000    0.00166   27.34087           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.731         1222.433      0.892      0.000      0.000    0.00164   27.31958           -1.76847       10.94719 
   159.100          79.434     10.424      2.055            7.725         1230.108      0.892      0.000      0.000    0.00158   27.27041           -1.76867       10.95133 
   160.100          79.196     10.492      2.069            7.719         1237.777      0.892      0.000      0.000    0.00152   27.21704           -1.76898       10.95550 
   161.100          78.958     10.560      2.082            7.712         1245.441      0.892      0.000      0.000    0.00147   27.16304           -1.76940       10.95969 
   162.100          78.720     10.627      2.095            7.706         1253.098      0.892      0.000      0.000    0.00141   27.10839           -1.76995       10.96391 
   163.100          78.482     10.695      2.108            7.699         1260.750      0.892      0.000      0.000    0.00136   27.05306           -1.77061       10.96815 
   164.100          78.244     10.762      2.121            7.692         1268.394      0.892      0.000      0.000    0.00131   26.99704           -1.77141       10.97242 
   165.100          78.006     10.830      2.135            7.684         1276.031      0.892      0.000      0.000    0.00126   26.94028           -1.77234       10.97671 
   166.100          77.769     10.897      2.148            7.677         1283.661      0.892      0.000      0.000    0.00122   26.88277           -1.77341       10.98103 
   167.100          77.531     10.964      2.161            7.669         1291.284      0.892      0.000      0.000    0.00117   26.82449           -1.77463       10.98537 
   168.100          77.294     11.031      2.174            7.661         1298.899      0.892      0.000      0.000    0.00113   26.76539           -1.77599       10.98973 
   169.100          77.056     11.098      2.187            7.652         1306.506      0.892      0.000      0.000    0.00109   26.70546           -1.77752       10.99412 
   170.100          76.819     11.165      2.201            7.643         1314.105      0.892      0.000      0.000    0.00105   26.64466           -1.77920       10.99854 
   171.100          76.582     11.232      2.214            7.634         1321.695      0.892      0.000      0.000    0.00102   26.58296           -1.78104       11.00298 
   172.100          76.344     11.299      2.227            7.625         1329.276      0.892      0.000      0.000    0.00098   26.52035           -1.78307       11.00744 
   173.100          76.107     11.366      2.240            7.615         1336.847      0.892      0.000      0.000    0.00094   26.45677           -1.78527       11.01192 
   174.100          75.870     11.433      2.253            7.605         1344.409      0.892      0.000      0.000    0.00091   26.39221           -1.78765       11.01643 
   175.100          75.633     11.499      2.266            7.594         1351.961      0.892      0.000      0.000    0.00088   26.32663           -1.79023       11.02095 
   176.100          75.395     11.566      2.280            7.583         1359.503      0.892      0.000      0.000    0.00085   26.25999           -1.79301       11.02550 
   177.100          75.158     11.632      2.293            7.572         1367.034      0.892      0.000      0.000    0.00082   26.19228           -1.79599       11.03008 
   178.100          74.921     11.699      2.306            7.561         1374.553      0.892      0.000      0.000    0.00079   26.12344           -1.79919       11.03467 
   179.100          74.683     11.765      2.319            7.549         1382.062      0.892      0.000      0.000    0.00076   26.05345           -1.80261       11.03928 
   180.100          74.446     11.831      2.332            7.536         1389.558      0.892      0.000      0.000    0.00073   25.98227           -1.80625       11.04392 
   181.100          74.208     11.897      2.345            7.523         1397.042      0.892      0.000      0.000    0.00071   25.90986           -1.81014       11.04857 
   182.100          73.971     11.963      2.358            7.510         1404.514      0.892      0.000      0.000    0.00068   25.83617           -1.81427       11.05325 
   183.100          73.733     12.029      2.371            7.497         1411.972      0.892      0.000      0.000    0.00066   25.76119           -1.81865       11.05794 
   184.100          73.495     12.094      2.384            7.482         1419.417      0.892      0.000      0.000    0.00064   25.68484           -1.82330       11.06265 
   185.100          73.257     12.160      2.397            7.468         1426.848      0.892      0.000      0.000    0.00062   25.60711           -1.82822       11.06738 
   186.100          73.018     12.225      2.410            7.453         1434.264      0.892      0.000      0.000    0.00059   25.52795           -1.83341       11.07213 
   187.100          72.780     12.290      2.423            7.437         1441.665      0.892      0.000      0.000    0.00057   25.44731           -1.83890       11.07689 
   188.100          72.541     12.356      2.436            7.421         1449.051      0.892      0.000      0.000    0.00055   25.36516           -1.84469       11.08167 
   189.100          72.302     12.420      2.449            7.405         1456.420      0.892      0.000      0.000    0.00053   25.28145           -1.85080       11.08646 
   190.100          72.063     12.485      2.462            7.388         1463.773      0.892      0.000      0.000    0.00052   25.19612           -1.85722       11.09127 
   191.100          71.823     12.550      2.475            7.370         1471.110      0.892      0.000      0.000    0.00050   25.10913           -1.86397       11.09609 
   192.100          71.583     12.615      2.488            7.352         1478.428      0.892      0.000      0.000    0.00048   25.01194           -1.87107       11.10092 
   193.100          71.343     12.679      2.501            7.333         1485.729      0.892      0.000      0.000    0.00046   24.91083           -1.87853       11.10577 
   194.100          71.102     12.743      2.514            7.314         1493.010      0.892      0.000      0.000    0.00045   24.80812           -1.88635       11.11063 
   195.100          70.861     12.807      2.526            7.294         1500.273      0.892      0.000      0.000    0.00043   24.70378           -1.89455       11.11550 
   196.100          70.620     12.871      2.539            7.274         1507.516      0.892      0.000      0.000    0.00042   24.59777           -1.90314       11.12038 
