#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.He_HPV1_-_CFRP.b98d1bf0-27ab-4341-9a69-bb066b24cd01_Trajectory.txt
# RunID         : sara
# ObjectID      : b98d1bf0-27ab-4341-9a69-bb066b24cd01
# ObjectName    : He_HPV1_-_CFRP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      0.913      0.000      0.000    0.00711   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.734         1218.977      0.913      0.000      0.000    0.00709   27.34211           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.733         1222.433      0.913      0.000      0.000    0.00698   27.32661           -1.76846       10.94719 
   159.100          79.434     10.425      2.055            7.731         1230.113      0.913      0.000      0.000    0.00674   27.29102           -1.76858       10.95133 
   160.100          79.196     10.492      2.069            7.729         1237.791      0.913      0.000      0.000    0.00650   27.25269           -1.76874       10.95550 
   161.100          78.957     10.560      2.082            7.727         1245.467      0.913      0.000      0.000    0.00626   27.21422           -1.76893       10.95970 
   162.100          78.718     10.628      2.095            7.725         1253.142      0.913      0.000      0.000    0.00603   27.17560           -1.76916       10.96392 
   163.100          78.480     10.695      2.108            7.723         1260.815      0.913      0.000      0.000    0.00581   27.13683           -1.76942       10.96817 
   164.100          78.242     10.763      2.122            7.721         1268.486      0.913      0.000      0.000    0.00560   27.09790           -1.76973       10.97244 
   165.100          78.003     10.831      2.135            7.719         1276.155      0.913      0.000      0.000    0.00539   27.05879           -1.77008       10.97674 
   166.100          77.765     10.898      2.148            7.716         1283.822      0.913      0.000      0.000    0.00520   27.01950           -1.77048       10.98107 
   167.100          77.526     10.966      2.161            7.714         1291.488      0.913      0.000      0.000    0.00501   26.98001           -1.77092       10.98542 
   168.100          77.288     11.034      2.175            7.712         1299.150      0.913      0.000      0.000    0.00483   26.94032           -1.77141       10.98980 
   169.100          77.050     11.101      2.188            7.709         1306.811      0.913      0.000      0.000    0.00466   26.90042           -1.77195       10.99420 
   170.100          76.811     11.169      2.201            7.706         1314.469      0.913      0.000      0.000    0.00449   26.86028           -1.77254       10.99863 
   171.100          76.573     11.236      2.215            7.703         1322.124      0.913      0.000      0.000    0.00433   26.81991           -1.77319       11.00309 
   172.100          76.334     11.304      2.228            7.700         1329.777      0.913      0.000      0.000    0.00417   26.77929           -1.77389       11.00757 
   173.100          76.096     11.371      2.241            7.697         1337.428      0.913      0.000      0.000    0.00402   26.73840           -1.77465       11.01207 
   174.100          75.858     11.439      2.254            7.694         1345.075      0.913      0.000      0.000    0.00388   26.69724           -1.77547       11.01661 
   175.100          75.619     11.506      2.268            7.691         1352.719      0.913      0.000      0.000    0.00374   26.65579           -1.77635       11.02117 
   176.100          75.381     11.573      2.281            7.687         1360.360      0.913      0.000      0.000    0.00361   26.61404           -1.77730       11.02575 
   177.100          75.142     11.641      2.294            7.684         1367.998      0.913      0.000      0.000    0.00348   26.57198           -1.77832       11.03036 
   178.100          74.904     11.708      2.308            7.680         1375.632      0.913      0.000      0.000    0.00336   26.52958           -1.77940       11.03499 
   179.100          74.666     11.775      2.321            7.676         1383.263      0.913      0.000      0.000    0.00324   26.48684           -1.78056       11.03965 
   180.100          74.427     11.843      2.334            7.672         1390.890      0.913      0.000      0.000    0.00313   26.44374           -1.78179       11.04433 
   181.100          74.188     11.910      2.348            7.668         1398.514      0.913      0.000      0.000    0.00302   26.40026           -1.78310       11.04904 
   182.100          73.950     11.977      2.361            7.663         1406.133      0.913      0.000      0.000    0.00291   26.35637           -1.78449       11.05378 
   183.100          73.711     12.044      2.374            7.659         1413.748      0.913      0.000      0.000    0.00281   26.31207           -1.78597       11.05853 
   184.100          73.472     12.111      2.388            7.654         1421.359      0.913      0.000      0.000    0.00271   26.26732           -1.78753       11.06332 
   185.100          73.234     12.178      2.401            7.649         1428.965      0.913      0.000      0.000    0.00262   26.22212           -1.78918       11.06812 
   186.100          72.995     12.245      2.414            7.644         1436.567      0.913      0.000      0.000    0.00253   26.17643           -1.79092       11.07295 
   187.100          72.756     12.312      2.428            7.639         1444.164      0.913      0.000      0.000    0.00244   26.13024           -1.79277       11.07781 
   188.100          72.517     12.379      2.441            7.634         1451.755      0.913      0.000      0.000    0.00235   26.08353           -1.79471       11.08268 
   189.100          72.278     12.446      2.454            7.628         1459.342      0.913      0.000      0.000    0.00227   26.03628           -1.79676       11.08758 
   190.100          72.038     12.513      2.468            7.622         1466.923      0.913      0.000      0.000    0.00219   25.98845           -1.79891       11.09251 
   191.100          71.799     12.580      2.481            7.616         1474.498      0.913      0.000      0.000    0.00212   25.93998           -1.80118       11.09745 
   192.100          71.560     12.647      2.494            7.610         1482.068      0.913      0.000      0.000    0.00205   25.88103           -1.80356       11.10242 
   193.100          71.320     12.713      2.508            7.604         1489.632      0.913      0.000      0.000    0.00198   25.82023           -1.80606       11.10741 
   194.100          71.080     12.780      2.521            7.597         1497.189      0.913      0.000      0.000    0.00191   25.75888           -1.80868       11.11243 
   195.100          70.841     12.847      2.534            7.590         1504.740      0.913      0.000      0.000    0.00185   25.69697           -1.81143       11.11746 
   196.100          70.601     12.913      2.548            7.583         1512.284      0.913      0.000      0.000    0.00179   25.63447           -1.81432       11.12252 
   197.100          70.360     12.979      2.561            7.576         1519.821      0.913      0.000      0.000    0.00173   25.57136           -1.81734       11.12760 
   198.100          70.120     13.046      2.574            7.568         1527.351      0.913      0.000      0.000    0.00167   25.50762           -1.82050       11.13270 
   199.100          69.880     13.112      2.588            7.560         1534.873      0.913      0.000      0.000    0.00161   25.44322           -1.82381       11.13782 
   200.100          69.639     13.178      2.601            7.552         1542.388      0.913      0.000      0.000    0.00156   25.37814           -1.82727       11.14296 
   201.100          69.398     13.245      2.614            7.544         1549.895      0.913      0.000      0.000    0.00151   25.31236           -1.83089       11.14812 
   202.100          69.157     13.311      2.628            7.535         1557.393      0.913      0.000      0.000    0.00146   25.24585           -1.83467       11.15330 
   203.100          68.915     13.377      2.641            7.526         1564.883      0.913      0.000      0.000    0.00141   25.17860           -1.83861       11.15850 
   204.100          68.674     13.443      2.654            7.517         1572.364      0.913      0.000      0.000    0.00137   25.11057           -1.84273       11.16371 
   205.100          68.432     13.509      2.667            7.507         1579.836      0.913      0.000      0.000    0.00132   25.04175           -1.84703       11.16895 
   206.100          68.190     13.574      2.681            7.497         1587.299      0.913      0.000      0.000    0.00128   24.97213           -1.85151       11.17420 
