#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.LOX_Tank_-_AA2198.4955aedf-f56c-4fc4-873a-5e322a2fcd5e_Trajectory.txt
# RunID         : sara
# ObjectID      : 4955aedf-f56c-4fc4-873a-5e322a2fcd5e
# ObjectName    : LOX_Tank_-_AA2198
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      1.763      0.000      0.000    0.00068   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.733         1218.977      1.763      0.000      0.000    0.00068   27.33979           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.729         1222.432      1.763      0.000      0.000    0.00067   27.31345           -1.76848       10.94719 
   159.100          79.434     10.424      2.055            7.719         1230.104      1.763      0.000      0.000    0.00064   27.25247           -1.76875       10.95133 
   160.100          79.196     10.492      2.068            7.709         1237.766      1.763      0.000      0.000    0.00062   27.18604           -1.76919       10.95549 
   161.100          78.958     10.560      2.082            7.699         1245.418      1.763      0.000      0.000    0.00060   27.11858           -1.76982       10.95968 
   162.100          78.721     10.627      2.095            7.688         1253.061      1.763      0.000      0.000    0.00058   27.05007           -1.77063       10.96390 
   163.100          78.483     10.694      2.108            7.677         1260.693      1.763      0.000      0.000    0.00056   26.98046           -1.77165       10.96814 
   164.100          78.246     10.762      2.121            7.666         1268.314      1.763      0.000      0.000    0.00054   26.90973           -1.77287       10.97240 
   165.100          78.009     10.829      2.134            7.654         1275.924      1.763      0.000      0.000    0.00052   26.83784           -1.77431       10.97668 
   166.100          77.772     10.896      2.148            7.642         1283.522      1.763      0.000      0.000    0.00050   26.76475           -1.77596       10.98099 
   167.100          77.535     10.963      2.161            7.630         1291.108      1.763      0.000      0.000    0.00048   26.69043           -1.77785       10.98533 
   168.100          77.299     11.029      2.174            7.617         1298.682      1.763      0.000      0.000    0.00046   26.61483           -1.77997       10.98968 
   169.100          77.062     11.096      2.187            7.603         1306.243      1.763      0.000      0.000    0.00045   26.53791           -1.78234       10.99406 
   170.100          76.826     11.163      2.200            7.589         1313.790      1.763      0.000      0.000    0.00043   26.45965           -1.78496       10.99846 
   171.100          76.589     11.229      2.213            7.575         1321.324      1.763      0.000      0.000    0.00041   26.38000           -1.78785       11.00288 
   172.100          76.353     11.295      2.226            7.560         1328.843      1.763      0.000      0.000    0.00040   26.29892           -1.79101       11.00732 
   173.100          76.117     11.362      2.239            7.545         1336.348      1.763      0.000      0.000    0.00039   26.21637           -1.79445       11.01179 
   174.100          75.880     11.428      2.252            7.529         1343.837      1.763      0.000      0.000    0.00037   26.13231           -1.79819       11.01627 
   175.100          75.644     11.494      2.265            7.512         1351.311      1.763      0.000      0.000    0.00036   26.04670           -1.80223       11.02077 
   176.100          75.408     11.559      2.278            7.495         1358.768      1.763      0.000      0.000    0.00035   25.95950           -1.80658       11.02530 
   177.100          75.172     11.625      2.291            7.478         1366.208      1.763      0.000      0.000    0.00033   25.87067           -1.81125       11.02984 
   178.100          74.935     11.690      2.304            7.460         1373.631      1.763      0.000      0.000    0.00032   25.78016           -1.81627       11.03440 
   179.100          74.699     11.756      2.317            7.441         1381.036      1.763      0.000      0.000    0.00031   25.68793           -1.82162       11.03897 
   180.100          74.462     11.821      2.330            7.422         1388.422      1.763      0.000      0.000    0.00030   25.59393           -1.82734       11.04357 
   181.100          74.225     11.886      2.343            7.402         1395.790      1.763      0.000      0.000    0.00029   25.49812           -1.83342       11.04818 
   182.100          73.988     11.951      2.356            7.382         1403.137      1.763      0.000      0.000    0.00028   25.40046           -1.83989       11.05280 
   183.100          73.751     12.015      2.369            7.361         1410.464      1.763      0.000      0.000    0.00027   25.30089           -1.84676       11.05744 
   184.100          73.514     12.080      2.381            7.339         1417.770      1.763      0.000      0.000    0.00026   25.19937           -1.85403       11.06209 
   185.100          73.276     12.144      2.394            7.317         1425.055      1.763      0.000      0.000    0.00025   25.09586           -1.86173       11.06675 
   186.100          73.039     12.208      2.407            7.294         1432.317      1.763      0.000      0.000    0.00024   24.99030           -1.86986       11.07143 
   187.100          72.800     12.272      2.420            7.270         1439.556      1.763      0.000      0.000    0.00023   24.88264           -1.87845       11.07612 
   188.100          72.562     12.335      2.432            7.246         1446.772      1.763      0.000      0.000    0.00023   24.77285           -1.88750       11.08081 
   189.100          72.323     12.399      2.445            7.221         1453.963      1.763      0.000      0.000    0.00022   24.66088           -1.89704       11.08552 
   190.100          72.084     12.462      2.458            7.195         1461.129      1.763      0.000      0.000    0.00021   24.54666           -1.90707       11.09023 
   191.100          71.844     12.525      2.470            7.169         1468.270      1.763      0.000      0.000    0.00020   24.43017           -1.91761       11.09495 
   192.100          71.604     12.588      2.483            7.142         1475.383      1.763      0.000      0.000    0.00020   24.30397           -1.92869       11.09968 
   193.100          71.363     12.650      2.495            7.114         1482.470      1.763      0.000      0.000    0.00019   24.17240           -1.94031       11.10441 
   194.100          71.122     12.712      2.508            7.085         1489.528      1.763      0.000      0.000    0.00018   24.03865           -1.95250       11.10914 
   195.100          70.881     12.774      2.520            7.055         1496.558      1.763      0.000      0.000    0.00018   23.90269           -1.96527       11.11387 
   196.100          70.638     12.836      2.532            7.025         1503.558      1.763      0.000      0.000    0.00017   23.76447           -1.97864       11.11861 
   197.100          70.395     12.898      2.545            6.994         1510.528      1.763      0.000      0.000    0.00017   23.62397           -1.99262       11.12334 
   198.100          70.152     12.959      2.557            6.962         1517.467      1.762      0.000      0.000    0.00016   23.48114           -2.00725       11.12807 
   199.100          69.908     13.020      2.569            6.929         1524.374      1.762      0.000      0.000    0.00015   23.33596           -2.02253       11.13280 
   200.100          69.663     13.080      2.581            6.896         1531.248      1.762      0.000      0.000    0.00015   23.18839           -2.03849       11.13752 
   201.100          69.417     13.141      2.593            6.862         1538.088      1.762      0.000      0.000    0.00014   23.03841           -2.05515       11.14223 
   202.100          69.171     13.201      2.605            6.826         1544.894      1.762      0.000      0.000    0.00014   22.88599           -2.07253       11.14694 
   203.100          68.923     13.260      2.617            6.790         1551.665      1.762      0.000      0.000    0.00014   22.73111           -2.09064       11.15164 
   204.100          68.675     13.320      2.629            6.754         1558.400      1.762      0.000      0.000    0.00013   22.57374           -2.10952       11.15632 
