#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.MerlinVE_-_A316.a64f92f2-27f5-435e-8bcc-f1205b88e42d_Trajectory.txt
# RunID         : sara
# ObjectID      : a64f92f2-27f5-435e-8bcc-f1205b88e42d
# ObjectName    : MerlinVE_-_A316
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      1.525      0.000      0.000    0.00157   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.733         1218.977      1.525      0.000      0.000    0.00156   27.34150           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.732         1222.433      1.525      0.000      0.000    0.00154   27.32319           -1.76847       10.94719 
   159.100          79.434     10.425      2.055            7.728         1230.110      1.525      0.000      0.000    0.00149   27.28099           -1.76863       10.95133 
   160.100          79.196     10.492      2.069            7.724         1237.784      1.525      0.000      0.000    0.00143   27.23533           -1.76885       10.95550 
   161.100          78.957     10.560      2.082            7.720         1245.454      1.525      0.000      0.000    0.00138   27.18929           -1.76916       10.95969 
   162.100          78.719     10.627      2.095            7.716         1253.121      1.525      0.000      0.000    0.00133   27.14285           -1.76954       10.96391 
   163.100          78.481     10.695      2.108            7.711         1260.783      1.525      0.000      0.000    0.00128   27.09599           -1.77000       10.96816 
   164.100          78.243     10.763      2.121            7.707         1268.441      1.525      0.000      0.000    0.00124   27.04871           -1.77055       10.97243 
   165.100          78.005     10.830      2.135            7.702         1276.095      1.525      0.000      0.000    0.00119   27.00098           -1.77118       10.97673 
   166.100          77.767     10.898      2.148            7.697         1283.744      1.525      0.000      0.000    0.00115   26.95277           -1.77191       10.98105 
   167.100          77.529     10.965      2.161            7.692         1291.388      1.525      0.000      0.000    0.00111   26.90408           -1.77273       10.98539 
   168.100          77.291     11.032      2.174            7.687         1299.028      1.525      0.000      0.000    0.00107   26.85488           -1.77365       10.98977 
   169.100          77.053     11.100      2.188            7.681         1306.662      1.525      0.000      0.000    0.00103   26.80515           -1.77466       10.99416 
