#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Nozzle_-_CFRP.69a318fe-bf9d-4632-92cf-14f38d7cfbbf_Trajectory.txt
# RunID         : sara
# ObjectID      : 69a318fe-bf9d-4632-92cf-14f38d7cfbbf
# ObjectName    : Nozzle_-_CFRP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      1.034      0.000      0.000    0.00119   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.732         1218.977      1.034      0.000      0.000    0.00119   27.33859           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.726         1222.431      1.034      0.000      0.000    0.00117   27.30664           -1.76850       10.94719 
   159.100          79.435     10.424      2.055            7.713         1230.099      1.034      0.000      0.000    0.00113   27.23257           -1.76883       10.95133 
   160.100          79.197     10.492      2.068            7.699         1237.753      1.034      0.000      0.000    0.00109   27.15170           -1.76942       10.95549 
   161.100          78.959     10.559      2.082            7.684         1245.393      1.034      0.000      0.000    0.00105   27.06940           -1.77027       10.95968 
   162.100          78.722     10.627      2.095            7.670         1253.019      1.034      0.000      0.000    0.00101   26.98563           -1.77140       10.96389 
   163.100          78.485     10.694      2.108            7.654         1260.630      1.034      0.000      0.000    0.00097   26.90035           -1.77280       10.96812 
   164.100          78.248     10.761      2.121            7.638         1268.226      1.034      0.000      0.000    0.00094   26.81351           -1.77449       10.97238 
   165.100          78.012     10.828      2.134            7.622         1275.805      1.034      0.000      0.000    0.00090   26.72508           -1.77648       10.97665 
   166.100          77.776     10.894      2.147            7.604         1283.368      1.034      0.000      0.000    0.00087   26.63501           -1.77878       10.98095 
   167.100          77.540     10.961      2.160            7.587         1290.914      1.034      0.000      0.000    0.00084   26.54325           -1.78141       10.98528 
   168.100          77.304     11.027      2.173            7.569         1298.443      1.034      0.000      0.000    0.00081   26.44977           -1.78437       10.98962 
   169.100          77.068     11.094      2.186            7.550         1305.953      1.034      0.000      0.000    0.00078   26.35452           -1.78767       10.99399 
   170.100          76.833     11.160      2.199            7.530         1313.445      1.034      0.000      0.000    0.00075   26.25745           -1.79133       10.99837 
   171.100          76.598     11.226      2.212            7.510         1320.917      1.034      0.000      0.000    0.00073   26.15853           -1.79537       11.00278 
   172.100          76.362     11.291      2.225            7.490         1328.370      1.034      0.000      0.000    0.00070   26.05770           -1.79978       11.00720 
   173.100          76.127     11.357      2.238            7.468         1335.801      1.034      0.000      0.000    0.00068   25.95492           -1.80459       11.01164 
   174.100          75.892     11.422      2.251            7.446         1343.211      1.034      0.000      0.000    0.00065   25.85016           -1.80980       11.01610 
   175.100          75.657     11.487      2.264            7.424         1350.600      1.034      0.000      0.000    0.00063   25.74335           -1.81544       11.02058 
   176.100          75.422     11.552      2.277            7.400         1357.966      1.034      0.000      0.000    0.00061   25.63447           -1.82152       11.02507 
   177.100          75.186     11.617      2.290            7.376         1365.308      1.034      0.000      0.000    0.00059   25.52346           -1.82805       11.02958 
   178.100          74.951     11.682      2.302            7.352         1372.626      1.034      0.000      0.000    0.00057   25.41029           -1.83504       11.03410 
   179.100          74.716     11.746      2.315            7.326         1379.920      1.034      0.000      0.000    0.00055   25.29491           -1.84251       11.03864 
   180.100          74.480     11.810      2.328            7.300         1387.188      1.034      0.000      0.000    0.00053   25.17726           -1.85049       11.04319 
   181.100          74.244     11.874      2.341            7.273         1394.430      1.034      0.000      0.000    0.00051   25.05731           -1.85897       11.04775 
   182.100          74.008     11.937      2.353            7.245         1401.645      1.034      0.000      0.000    0.00049   24.93500           -1.86799       11.05232 
