#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.RP1_Tank_-_AA2198.76ded92f-f192-4cee-905e-6adcb4380736_Trajectory.txt
# RunID         : sara
# ObjectID      : 76ded92f-f192-4cee-905e-6adcb4380736
# ObjectName    : RP1_Tank_-_AA2198
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      1.480      0.000      0.000    0.00079   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.732         1218.977      1.480      0.000      0.000    0.00078   27.33664           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.723         1222.430      1.480      0.000      0.000    0.00077   27.29558           -1.76851       10.94719 
   159.100          79.435     10.424      2.055            7.703         1230.091      1.480      0.000      0.000    0.00075   27.20027           -1.76897       10.95132 
   160.100          79.197     10.492      2.068            7.682         1237.732      1.480      0.000      0.000    0.00072   27.09603           -1.76980       10.95548 
   161.100          78.960     10.559      2.082            7.661         1245.352      1.480      0.000      0.000    0.00069   26.98977           -1.77102       10.95966 
   162.100          78.724     10.626      2.095            7.639         1252.951      1.480      0.000      0.000    0.00067   26.88146           -1.77263       10.96387 
   163.100          78.488     10.693      2.108            7.616         1260.528      1.480      0.000      0.000    0.00064   26.77104           -1.77466       10.96809 
   164.100          78.252     10.759      2.121            7.593         1268.083      1.480      0.000      0.000    0.00062   26.65846           -1.77711       10.97234 
   165.100          78.017     10.826      2.134            7.569         1275.614      1.480      0.000      0.000    0.00060   26.54370           -1.78000       10.97661 
   166.100          77.782     10.892      2.147            7.544         1283.120      1.480      0.000      0.000    0.00058   26.42669           -1.78335       10.98089 
   167.100          77.547     10.958      2.160            7.518         1290.602      1.480      0.000      0.000    0.00056   26.30740           -1.78717       10.98520 
   168.100          77.313     11.024      2.173            7.492         1298.058      1.480      0.000      0.000    0.00054   26.18577           -1.79148       10.98953 
   169.100          77.079     11.089      2.186            7.464         1305.488      1.480      0.000      0.000    0.00052   26.06178           -1.79629       10.99387 
   170.100          76.845     11.155      2.199            7.436         1312.891      1.480      0.000      0.000    0.00050   25.93537           -1.80163       10.99823 
   171.100          76.611     11.220      2.211            7.408         1320.265      1.480      0.000      0.000    0.00048   25.80650           -1.80750       11.00261 
   172.100          76.378     11.285      2.224            7.378         1327.611      1.480      0.000      0.000    0.00046   25.67513           -1.81392       11.00700 
   173.100          76.144     11.349      2.237            7.347         1334.927      1.480      0.000      0.000    0.00045   25.54123           -1.82092       11.01141 
   174.100          75.911     11.413      2.249            7.316         1342.213      1.480      0.000      0.000    0.00043   25.40475           -1.82851       11.01583 
   175.100          75.677     11.477      2.262            7.284         1349.467      1.480      0.000      0.000    0.00042   25.26566           -1.83672       11.02027 
   176.100          75.444     11.541      2.275            7.251         1356.689      1.480      0.000      0.000    0.00040   25.12391           -1.84555       11.02471 
   177.100          75.210     11.604      2.287            7.217         1363.878      1.480      0.000      0.000    0.00039   24.97948           -1.85503       11.02917 
   178.100          74.976     11.668      2.300            7.182         1371.033      1.480      0.000      0.000    0.00038   24.83233           -1.86519       11.03364 
   179.100          74.743     11.730      2.312            7.146         1378.153      1.480      0.000      0.000    0.00036   24.68243           -1.87604       11.03811 
   180.100          74.508     11.793      2.324            7.110         1385.237      1.480      0.000      0.000    0.00035   24.52973           -1.88760       11.04259 
   181.100          74.274     11.855      2.337            7.072         1392.285      1.480      0.000      0.000    0.00034   24.37421           -1.89990       11.04708 
   182.100          74.040     11.917      2.349            7.033         1399.294      1.480      0.000      0.000    0.00033   24.21292           -1.91297       11.05156 
   183.100          73.805     11.978      2.361            6.991         1406.263      1.479      0.000      0.000    0.00032   24.04465           -1.92685       11.05605 
   184.100          73.569     12.039      2.373            6.947         1413.190      1.479      0.000      0.000    0.00030   23.86893           -1.94159       11.06054 
   185.100          73.334     12.100      2.385            6.901         1420.073      1.479      0.000      0.000    0.00029   23.68536           -1.95726       11.06502 
   186.100          73.098     12.160      2.397            6.852         1426.908      1.479      0.000      0.000    0.00028   23.49349           -1.97390       11.06950 
   187.100          72.862     12.220      2.409            6.800         1433.693      1.479      0.000      0.000    0.00027   23.29286           -1.99159       11.07396 
   188.100          72.625     12.279      2.421            6.746         1440.426      1.479      0.000      0.000    0.00026   23.08302           -2.01037       11.07841 
   189.100          72.389     12.338      2.433            6.688         1447.103      1.479      0.000      0.000    0.00026   22.86349           -2.03034       11.08283 
   190.100          72.151     12.397      2.445            6.628         1453.722      1.479      0.000      0.000    0.00025   22.63379           -2.05156       11.08723 
   191.100          71.914     12.455      2.456            6.564         1460.279      1.479      0.000      0.000    0.00024   22.39344           -2.07411       11.09160 
   192.100          71.676     12.512      2.467            6.497         1466.771      1.479      0.000      0.000    0.00023   22.13811           -2.09809       11.09593 
   193.100          71.438     12.568      2.479            6.426         1473.195      1.479      0.000      0.000    0.00022   21.86584           -2.12359       11.10022 
   194.100          71.200     12.624      2.490            6.352         1479.546      1.479      0.000      0.000    0.00022   21.58207           -2.15070       11.10446 
   195.100          70.962     12.680      2.501            6.273         1485.821      1.479      0.000      0.000    0.00021   21.28643           -2.17954       11.10864 
   196.100          70.723     12.734      2.512            6.191         1492.017      1.479      0.000      0.000    0.00020   20.97862           -2.21022       11.11275 
   197.100          70.484     12.788      2.523            6.105         1498.130      1.479      0.000      0.000    0.00019   20.65839           -2.24285       11.11678 
   198.100          70.245     12.841      2.533            6.015         1504.155      1.479      0.000      0.000    0.00019   20.32559           -2.27758       11.12073 
