#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Structure_-_AA2198.7a1ae0a8-fdf2-4d39-a075-2360bef550df_Trajectory.txt
# RunID         : sara
# ObjectID      : 7a1ae0a8-fdf2-4d39-a075-2360bef550df
# ObjectName    : Structure_-_AA2198
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      0.568      0.000      0.000    0.00116   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.734         1218.977      0.568      0.000      0.000    0.00115   27.34210           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.733         1222.433      0.568      0.000      0.000    0.00113   27.32660           -1.76846       10.94719 
   159.100          79.434     10.425      2.055            7.731         1230.113      0.568      0.000      0.000    0.00110   27.29097           -1.76858       10.95133 
   160.100          79.196     10.492      2.069            7.729         1237.791      0.568      0.000      0.000    0.00106   27.25260           -1.76874       10.95550 
   161.100          78.957     10.560      2.082            7.727         1245.467      0.568      0.000      0.000    0.00102   27.21409           -1.76893       10.95970 
   162.100          78.718     10.628      2.095            7.725         1253.142      0.568      0.000      0.000    0.00098   27.17544           -1.76916       10.96392 
   163.100          78.480     10.695      2.108            7.723         1260.815      0.568      0.000      0.000    0.00094   27.13662           -1.76943       10.96817 
   164.100          78.242     10.763      2.122            7.721         1268.486      0.568      0.000      0.000    0.00091   27.09765           -1.76974       10.97244 
   165.100          78.003     10.831      2.135            7.719         1276.155      0.568      0.000      0.000    0.00088   27.05849           -1.77009       10.97674 
   166.100          77.765     10.898      2.148            7.716         1283.822      0.568      0.000      0.000    0.00084   27.01915           -1.77049       10.98107 
   167.100          77.526     10.966      2.161            7.714         1291.487      0.568      0.000      0.000    0.00081   26.97962           -1.77093       10.98542 
   168.100          77.288     11.034      2.175            7.711         1299.150      0.568      0.000      0.000    0.00078   26.93988           -1.77142       10.98980 
   169.100          77.050     11.101      2.188            7.709         1306.810      0.568      0.000      0.000    0.00076   26.89993           -1.77197       10.99420 
   170.100          76.811     11.169      2.201            7.706         1314.468      0.568      0.000      0.000    0.00073   26.85974           -1.77256       10.99863 
   171.100          76.573     11.236      2.215            7.703         1322.123      0.568      0.000      0.000    0.00070   26.81931           -1.77321       11.00309 
   172.100          76.334     11.304      2.228            7.700         1329.776      0.568      0.000      0.000    0.00068   26.77863           -1.77392       11.00757 
   173.100          76.096     11.371      2.241            7.697         1337.426      0.568      0.000      0.000    0.00065   26.73769           -1.77468       11.01207 
   174.100          75.858     11.439      2.254            7.694         1345.073      0.568      0.000      0.000    0.00063   26.69647           -1.77550       11.01661 
   175.100          75.619     11.506      2.268            7.690         1352.717      0.568      0.000      0.000    0.00061   26.65496           -1.77639       11.02116 
   176.100          75.381     11.573      2.281            7.687         1360.358      0.568      0.000      0.000    0.00059   26.61314           -1.77734       11.02575 
   177.100          75.143     11.641      2.294            7.683         1367.995      0.568      0.000      0.000    0.00057   26.57101           -1.77836       11.03036 
   178.100          74.904     11.708      2.308            7.680         1375.630      0.568      0.000      0.000    0.00055   26.52855           -1.77945       11.03499 
   179.100          74.666     11.775      2.321            7.676         1383.260      0.568      0.000      0.000    0.00053   26.48574           -1.78061       11.03965 
   180.100          74.427     11.843      2.334            7.672         1390.887      0.568      0.000      0.000    0.00051   26.44256           -1.78185       11.04433 
   181.100          74.188     11.910      2.348            7.667         1398.510      0.568      0.000      0.000    0.00049   26.39900           -1.78317       11.04904 
   182.100          73.950     11.977      2.361            7.663         1406.129      0.568      0.000      0.000    0.00047   26.35504           -1.78457       11.05378 
   183.100          73.711     12.044      2.374            7.658         1413.744      0.568      0.000      0.000    0.00046   26.31065           -1.78605       11.05853 
   184.100          73.472     12.111      2.388            7.654         1421.354      0.568      0.000      0.000    0.00044   26.26582           -1.78762       11.06331 
   185.100          73.234     12.178      2.401            7.649         1428.960      0.568      0.000      0.000    0.00042   26.22053           -1.78928       11.06812 
   186.100          72.995     12.245      2.414            7.644         1436.561      0.568      0.000      0.000    0.00041   26.17476           -1.79103       11.07295 
   187.100          72.756     12.312      2.428            7.639         1444.157      0.568      0.000      0.000    0.00040   26.12848           -1.79288       11.07780 
   188.100          72.517     12.379      2.441            7.633         1451.749      0.568      0.000      0.000    0.00038   26.08168           -1.79484       11.08268 
   189.100          72.278     12.446      2.454            7.627         1459.334      0.568      0.000      0.000    0.00037   26.03433           -1.79689       11.08758 
   190.100          72.039     12.513      2.468            7.622         1466.915      0.568      0.000      0.000    0.00036   25.98639           -1.79906       11.09250 
   191.100          71.799     12.580      2.481            7.616         1474.490      0.568      0.000      0.000    0.00034   25.93782           -1.80133       11.09745 
   192.100          71.560     12.647      2.494            7.609         1482.059      0.568      0.000      0.000    0.00033   25.87877           -1.80373       11.10242 
   193.100          71.320     12.713      2.508            7.603         1489.622      0.568      0.000      0.000    0.00032   25.81785           -1.80624       11.10741 
   194.100          71.080     12.780      2.521            7.596         1497.178      0.568      0.000      0.000    0.00031   25.75639           -1.80888       11.11242 
   195.100          70.841     12.846      2.534            7.589         1504.728      0.568      0.000      0.000    0.00030   25.69436           -1.81165       11.11746 
   196.100          70.601     12.913      2.548            7.582         1512.271      0.568      0.000      0.000    0.00029   25.63174           -1.81454       11.12251 
   197.100          70.360     12.979      2.561            7.575         1519.808      0.568      0.000      0.000    0.00028   25.56851           -1.81758       11.12759 
   198.100          70.120     13.046      2.574            7.567         1527.337      0.568      0.000      0.000    0.00027   25.50465           -1.82076       11.13269 
   199.100          69.880     13.112      2.588            7.559         1534.858      0.568      0.000      0.000    0.00026   25.44011           -1.82409       11.13781 
   200.100          69.639     13.178      2.601            7.551         1542.372      0.568      0.000      0.000    0.00025   25.37490           -1.82757       11.14295 
   201.100          69.398     13.244      2.614            7.543         1549.878      0.568      0.000      0.000    0.00025   25.30898           -1.83120       11.14811 
   202.100          69.157     13.311      2.628            7.534         1557.375      0.568      0.000      0.000    0.00024   25.24233           -1.83500       11.15329 
   203.100          68.915     13.377      2.641            7.525         1564.864      0.568      0.000      0.000    0.00023   25.17493           -1.83896       11.15849 
   204.100          68.674     13.443      2.654            7.516         1572.344      0.568      0.000      0.000    0.00022   25.10675           -1.84310       11.16370 
   205.100          68.432     13.508      2.667            7.506         1579.815      0.568      0.000      0.000    0.00021   25.03778           -1.84742       11.16894 
   206.100          68.190     13.574      2.681            7.496         1587.276      0.568      0.000      0.000    0.00021   24.96799           -1.85192       11.17419 
   207.100          67.948     13.640      2.694            7.486         1594.728      0.568      0.000      0.000    0.00020   24.89735           -1.85662       11.17946 
   208.100          67.705     13.705      2.707            7.475         1602.170      0.568      0.000      0.000    0.00019   24.82585           -1.86151       11.18475 
   209.100          67.462     13.771      2.720            7.465         1609.601      0.568      0.000      0.000    0.00019   24.75345           -1.86660       11.19006 
   210.100          67.219     13.836      2.734            7.453         1617.021      0.568      0.000      0.000    0.00018   24.68014           -1.87191       11.19538 
   211.100          66.975     13.902      2.747            7.442         1624.430      0.568      0.000      0.000    0.00018   24.60588           -1.87743       11.20072 
   212.100          66.731     13.967      2.760            7.430         1631.828      0.568      0.000      0.000    0.00017   24.53066           -1.88318       11.20607 
   213.100          66.487     14.032      2.773            7.418         1639.214      0.568      0.000      0.000    0.00016   24.45444           -1.88915       11.21144 
   214.100          66.242     14.097      2.787            7.405         1646.588      0.568      0.000      0.000    0.00016   24.37721           -1.89537       11.21683 
   215.100          65.997     14.162      2.800            7.392         1653.950      0.568      0.000      0.000    0.00015   24.29893           -1.90183       11.22223 
   216.100          65.751     14.227      2.813            7.379         1661.298      0.568      0.000      0.000    0.00015   24.21957           -1.90855       11.22764 
   217.100          65.505     14.291      2.826            7.365         1668.633      0.568      0.000      0.000    0.00014   24.13911           -1.91553       11.23307 
   218.100          65.259     14.356      2.839            7.351         1675.955      0.568      0.000      0.000    0.00014   24.05753           -1.92278       11.23851 
   219.100          65.012     14.420      2.852            7.336         1683.262      0.568      0.000      0.000    0.00014   23.97479           -1.93031       11.24396 
   220.100          64.765     14.484      2.865            7.321         1690.554      0.568      0.000      0.000    0.00013   23.89086           -1.93813       11.24943 
   221.100          64.517     14.549      2.879            7.305         1697.832      0.568      0.000      0.000    0.00013   23.80573           -1.94625       11.25491 
   222.100          64.268     14.613      2.892            7.289         1705.094      0.568      0.000      0.000    0.00012   23.71935           -1.95467       11.26040 
   223.100          64.020     14.676      2.905            7.273         1712.340      0.568      0.000      0.000    0.00012   23.63170           -1.96340       11.26590 
   224.100          63.770     14.740      2.918            7.256         1719.570      0.568      0.000      0.000    0.00012   23.54275           -1.97247       11.27141 
   225.100          63.520     14.804      2.931            7.239         1726.783      0.568      0.000      0.000    0.00011   23.45247           -1.98187       11.27693 
   226.100          63.269     14.867      2.944            7.221         1733.979      0.568      0.000      0.000    0.00011   23.36083           -1.99161       11.28247 
   227.100          63.018     14.930      2.957            7.202         1741.157      0.568      0.000      0.000    0.00010   23.26780           -2.00171       11.28801 
   228.100          62.766     14.993      2.970            7.184         1748.316      0.568      0.000      0.000    0.00010   23.17335           -2.01218       11.29357 
   229.100          62.514     15.056      2.983            7.164         1755.457      0.568      0.000      0.000    0.00010   23.07745           -2.02303       11.29913 
   230.100          62.260     15.119      2.996            7.144         1762.578      0.568      0.000      0.000    0.00009   22.98006           -2.03427       11.30470 
   231.100          62.006     15.182      3.008            7.124         1769.679      0.568      0.000      0.000    0.00009   22.88117           -2.04591       11.31028 
   232.100          61.752     15.244      3.021            7.103         1776.760      0.568      0.000      0.000    0.00009   22.78073           -2.05797       11.31586 
   233.100          61.496     15.306      3.034            7.081         1783.820      0.568      0.000      0.000    0.00009   22.67872           -2.07046       11.32145 
   234.100          61.240     15.368      3.047            7.059         1790.858      0.568      0.000      0.000    0.00008   22.57511           -2.08338       11.32705 
   235.100          60.983     15.430      3.060            7.036         1797.873      0.568      0.000      0.000    0.00008   22.46986           -2.09676       11.33266 
   236.100          60.725     15.492      3.072            7.012         1804.866      0.568      0.000      0.000    0.00008   22.36296           -2.11061       11.33827 
   237.100          60.467     15.553      3.085            6.988         1811.836      0.568      0.000      0.000    0.00008   22.25435           -2.12493       11.34388 
   238.100          60.207     15.614      3.098            6.964         1818.781      0.568      0.000      0.000    0.00007   22.14403           -2.13976       11.34950 
   239.100          59.947     15.675      3.110            6.938         1825.702      0.568      0.000      0.000    0.00007   22.03195           -2.15509       11.35512 
   240.100          59.685     15.736      3.123            6.913         1832.597      0.568      0.000      0.000    0.00007   21.91809           -2.17095       11.36074 
   241.100          59.423     15.796      3.136            6.886         1839.467      0.568      0.000      0.000    0.00007   21.80242           -2.18736       11.36637 
   242.100          59.160     15.857      3.148            6.859         1846.310      0.568      0.000      0.000    0.00006   21.68490           -2.20432       11.37200 
   243.100          58.895     15.917      3.161            6.831         1853.125      0.568      0.000      0.000    0.00006   21.56551           -2.22185       11.37762 
   244.100          58.630     15.977      3.173            6.802         1859.912      0.568      0.000      0.000    0.00006   21.44423           -2.23998       11.38325 
   245.100          58.363     16.036      3.185            6.773         1866.671      0.568      0.000      0.000    0.00006   21.32100           -2.25871       11.38887 
   246.100          58.096     16.095      3.198            6.743         1873.400      0.568      0.000      0.000    0.00006   21.19583           -2.27807       11.39449 
   247.100          57.827     16.154      3.210            6.712         1880.099      0.568      0.000      0.000    0.00005   21.06866           -2.29808       11.40011 
   248.100          57.558     16.213      3.222            6.680         1886.768      0.568      0.000      0.000    0.00005   20.93949           -2.31875       11.40572 
   249.100          57.287     16.272      3.235            6.648         1893.404      0.568      0.000      0.000    0.00005   20.80827           -2.34011       11.41132 
   250.100          57.015     16.330      3.247            6.615         1900.008      0.568      0.000      0.000    0.00005   20.67500           -2.36217       11.41692 
   251.100          56.742     16.388      3.259            6.581         1906.579      0.568      0.000      0.000    0.00005   20.53964           -2.38495       11.42252 
   252.100          56.467     16.445      3.271            6.546         1913.116      0.568      0.000      0.000    0.00005   20.40217           -2.40848       11.42810 
   253.100          56.191     16.502      3.283            6.511         1919.619      0.568      0.000      0.000    0.00004   20.26257           -2.43278       11.43367 
