#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.3 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.TF_-_AlTi.edb8bfbd-5700-4c08-b688-2449d41955f1_Trajectory.txt
# RunID         : sara
# ObjectID      : edb8bfbd-5700-4c08-b688-2449d41955f1
# ObjectName    : TF_-_AlTi
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   157.550          79.804     10.320      2.035            7.734         1218.209      0.468      0.000      0.000    0.00116   27.34544           -1.76841       10.94493 
   157.650          79.780     10.326      2.036            7.733         1218.977      0.468      0.000      0.000    0.00116   27.33982           -1.76842       10.94534 
   158.100          79.673     10.357      2.042            7.729         1222.432      0.468      0.000      0.000    0.00114   27.31362           -1.76848       10.94719 
   159.100          79.434     10.424      2.055            7.719         1230.104      0.468      0.000      0.000    0.00110   27.25296           -1.76875       10.95133 
   160.100          79.196     10.492      2.068            7.709         1237.766      0.468      0.000      0.000    0.00106   27.18689           -1.76918       10.95549 
   161.100          78.958     10.560      2.082            7.699         1245.419      0.468      0.000      0.000    0.00102   27.11980           -1.76980       10.95968 
   162.100          78.721     10.627      2.095            7.689         1253.062      0.468      0.000      0.000    0.00098   27.05167           -1.77061       10.96390 
   163.100          78.483     10.694      2.108            7.678         1260.694      0.468      0.000      0.000    0.00095   26.98245           -1.77162       10.96814 
   164.100          78.246     10.762      2.121            7.667         1268.316      0.468      0.000      0.000    0.00091   26.91213           -1.77283       10.97240 
   165.100          78.009     10.829      2.134            7.655         1275.927      0.468      0.000      0.000    0.00088   26.84065           -1.77425       10.97668 
   166.100          77.772     10.896      2.148            7.643         1283.526      0.468      0.000      0.000    0.00085   26.76798           -1.77589       10.98099 
   167.100          77.535     10.963      2.161            7.631         1291.113      0.468      0.000      0.000    0.00082   26.69409           -1.77776       10.98533 
   168.100          77.298     11.029      2.174            7.618         1298.688      0.468      0.000      0.000    0.00079   26.61894           -1.77986       10.98968 
   169.100          77.062     11.096      2.187            7.605         1306.250      0.468      0.000      0.000    0.00076   26.54249           -1.78221       10.99406 
   170.100          76.825     11.163      2.200            7.591         1313.799      0.468      0.000      0.000    0.00073   26.46470           -1.78481       10.99846 
   171.100          76.589     11.229      2.213            7.576         1321.334      0.468      0.000      0.000    0.00071   26.38554           -1.78767       11.00288 
