Time [s],Altitude [km],Lat [deg],Lon [deg],Velocity [km/s],Downrange [km],Mass [kg],Temp [K],Datetime,d_m [kg],ObjectID,ObjectName,Part,Material,ReferenceArea [m^2],scenario,reentry_vehicle
0.0,80.0,0.0,0.0,7.0,0.0,50.0,300.0,2023-07-09 21:00:00.000,,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
0.1,79.969,0.002,0.006,6.993,0.691,50.0,308.768,2023-07-09 21:00:00.100,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
0.55,79.832,0.012,0.032,6.963,3.792,50.0,347.948,2023-07-09 21:00:00.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
1.55,79.529,0.033,0.09,6.895,10.634,50.0,432.628,2023-07-09 21:00:01.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
2.55,79.227,0.054,0.147,6.825,17.409,50.0,512.673,2023-07-09 21:00:02.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
3.55,78.928,0.075,0.203,6.753,24.114,50.0,587.875,2023-07-09 21:00:03.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
4.55,78.629,0.095,0.259,6.679,30.747,50.0,657.704,2023-07-09 21:00:04.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
5.55,78.333,0.115,0.315,6.604,37.307,50.0,721.482,2023-07-09 21:00:05.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
6.55,78.038,0.135,0.369,6.526,43.791,50.0,778.794,2023-07-09 21:00:06.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
7.55,77.744,0.155,0.423,6.447,50.198,50.0,829.361,2023-07-09 21:00:07.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
8.55,77.452,0.175,0.477,6.367,56.527,50.0,872.478,2023-07-09 21:00:08.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
9.55,77.162,0.194,0.529,6.285,62.775,50.0,907.729,2023-07-09 21:00:09.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
10.55,76.872,0.213,0.582,6.201,68.941,50.0,935.955,2023-07-09 21:00:10.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
11.55,76.584,0.232,0.633,6.116,75.025,50.0,958.12,2023-07-09 21:00:11.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
12.55,76.297,0.25,0.683,6.029,81.023,50.0,974.964,2023-07-09 21:00:12.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
13.55,76.011,0.269,0.733,5.941,86.936,50.0,987.229,2023-07-09 21:00:13.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
14.55,75.726,0.287,0.782,5.852,92.761,50.0,995.642,2023-07-09 21:00:14.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
15.55,75.442,0.304,0.831,5.762,98.497,50.0,1000.867,2023-07-09 21:00:15.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
16.55,75.159,0.322,0.878,5.671,104.145,50.0,1003.486,2023-07-09 21:00:16.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
17.55,74.876,0.339,0.925,5.579,109.701,50.0,1003.993,2023-07-09 21:00:17.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
18.55,74.594,0.356,0.971,5.486,115.167,50.0,1002.795,2023-07-09 21:00:18.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
19.55,74.313,0.372,1.017,5.392,120.54,50.0,1000.22,2023-07-09 21:00:19.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
20.55,74.033,0.389,1.061,5.297,125.82,50.0,996.531,2023-07-09 21:00:20.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
21.55,73.753,0.405,1.105,5.202,131.006,50.0,991.938,2023-07-09 21:00:21.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
22.55,73.474,0.421,1.148,5.107,136.098,50.0,986.606,2023-07-09 21:00:22.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
23.55,73.195,0.436,1.19,5.011,141.096,50.0,980.665,2023-07-09 21:00:23.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
24.55,72.916,0.451,1.232,4.915,145.999,50.0,974.219,2023-07-09 21:00:24.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
25.55,72.638,0.466,1.272,4.818,150.806,50.0,967.352,2023-07-09 21:00:25.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
26.55,72.36,0.481,1.312,4.722,155.518,50.0,960.13,2023-07-09 21:00:26.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
27.55,72.082,0.495,1.351,4.625,160.135,50.0,952.608,2023-07-09 21:00:27.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
28.55,71.805,0.509,1.389,4.529,164.656,50.0,944.831,2023-07-09 21:00:28.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
29.55,71.527,0.522,1.426,4.433,169.082,50.0,936.823,2023-07-09 21:00:29.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
30.55,71.25,0.536,1.463,4.337,173.413,50.0,928.622,2023-07-09 21:00:30.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
31.55,70.973,0.549,1.499,4.242,177.65,50.0,920.255,2023-07-09 21:00:31.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
32.55,70.696,0.562,1.533,4.147,181.792,50.0,911.745,2023-07-09 21:00:32.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
33.55,70.419,0.574,1.568,4.053,185.841,50.0,903.116,2023-07-09 21:00:33.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
